wmc,cbo,rfc,lcom,ca,ce,loc,moa,cam,amc,max_cc,avg_cc,bug
7,2,14,3,1,1,89,0,0.571428571,11.42857143,2,1.2857,0
8,2,17,2,1,1,162,0,0.583333333,19.0,8,2.375,0
38,14,38,703,8,9,38,0,0.24210526300000001,0.0,1,1.0,0
10,9,57,0,4,5,510,0,0.425,49.9,3,1.1,5
28,19,83,172,12,9,800,0,0.17857142899999998,27.28571429,23,2.5357,1
36,11,45,214,11,0,774,0,0.331428571,20.13888889,52,2.9444,1
7,5,13,21,5,0,88,0,0.428571429,11.57142857,4,2.0,0
2,4,8,1,2,3,37,0,1.0,16.5,0,0.0,0
11,9,80,41,5,8,829,1,0.381818182,72.27272727,7,2.0,3
19,13,89,113,9,11,839,4,0.175438596,42.10526316,7,1.4211,5
6,10,34,11,6,9,261,1,0.5,39.5,1,0.6667,8
10,6,49,0,1,5,473,0,0.425,46.2,3,1.1,2
8,3,18,2,2,1,246,0,0.583333333,29.375,7,2.0,0
84,44,313,3022,34,44,5924,5,0.20105820100000002,68.57142857,49,2.5119,8
8,3,17,2,2,1,205,0,0.583333333,24.375,7,2.0,0
24,12,51,130,9,4,584,0,0.242236025,23.0,28,2.4167,3
6,9,22,11,1,8,90,0,0.666666667,13.66666667,1,0.6667,0
4,2,8,6,2,0,21,0,0.666666667,4.0,0,0.0,0
3,6,20,3,1,5,100,0,0.666666667,30.66666667,1,0.3333,0
4,4,4,6,2,2,4,0,1.0,0.0,1,1.0,0
3,2,6,3,0,2,17,0,0.666666667,4.0,1,0.6667,0
15,3,16,91,3,0,74,0,0.36666666700000006,3.4666666669999997,1,0.9333,0
8,3,19,2,2,1,247,0,0.583333333,29.625,8,2.125,0
9,2,18,10,1,1,207,0,0.592592593,21.77777778,7,1.8889,0
12,11,18,16,10,1,84,0,0.181818182,5.666666667,2,0.9167,0
19,5,26,37,5,0,322,0,0.333333333,15.52631579,18,2.3158,0
20,14,92,110,9,12,965,4,0.17692307699999998,46.25,8,1.4,5
43,13,91,447,8,5,1347,0,0.214285714,30.0,62,3.2326,3
57,34,246,1180,22,34,4020,6,0.189083821,68.56140351,72,2.9474,3
10,8,56,0,3,5,431,0,0.425,42.0,3,1.1,0
60,22,135,676,7,15,1176,6,0.148809524,18.41666667,4,1.1667,1
12,11,52,0,4,8,519,0,0.28571428600000004,42.16666667,3,1.3333,0
6,2,19,15,1,2,60,0,0.5,9.0,1,0.8333,0
8,2,21,2,1,1,234,1,0.583333333,27.875,8,2.375,0
1,0,2,0,0,0,40,0,1.0,3.0,0,0.0,0
74,45,281,2097,32,45,4908,6,0.19819819800000002,64.52702703,16,2.2973,16
69,45,262,1916,33,45,4327,7,0.201288245,60.91304348,37,2.4638,5
24,16,70,102,10,7,796,0,0.19166666699999999,31.91666667,25,2.5,1
6,4,10,13,4,0,63,0,0.625,6.5,0,0.0,0
2,2,10,1,1,1,70,0,0.5,34.0,4,2.0,0
10,6,26,0,4,2,181,0,0.333333333,16.8,1,0.8,0
3,4,17,0,1,3,83,0,0.5555555560000001,26.33333333,1,0.6667,0
8,6,18,16,3,3,75,0,0.166666667,8.25,2,1.375,0
