wmc,cbo,rfc,lcom,ce,npm,loc,cam,cbm,bug
2,8,2,1,1,2,2,0.666666667,0,0
23,7,52,171,5,20,420,0.25,0,3
4,10,4,6,1,4,4,0.55,0,1
13,17,57,22,15,9,346,0.192307692,7,6
38,37,153,569,37,21,1515,0.122332859,1,2
15,8,51,47,8,15,255,0.36666666700000006,4,2
6,13,6,15,3,6,6,1.0,0,1
4,4,25,6,2,4,126,0.625,1,0
8,7,15,0,3,8,83,0.34375,4,2
1,4,1,0,1,1,1,1.0,0,0
2,3,5,1,3,2,12,1.0,1,0
19,6,25,135,2,12,167,0.256578947,0,0
5,3,17,0,2,4,74,0.5,0,3
15,9,44,63,9,15,230,0.36666666700000006,4,4
7,7,12,0,3,7,40,0.428571429,0,0
7,28,7,21,2,7,7,1.0,0,0
6,27,13,0,0,6,87,0.444444444,1,2
34,13,88,433,13,32,531,0.375,4,5
9,10,36,14,10,8,159,0.37777777799999995,0,1
11,42,27,31,1,11,164,0.340909091,1,3
5,6,33,10,4,5,229,0.48,0,2
3,2,4,1,0,3,14,0.666666667,0,0
9,4,19,20,3,9,82,0.317460317,0,1
13,2,59,0,1,11,682,0.4375,0,0
9,6,14,24,1,9,105,0.311111111,1,1
5,18,52,10,18,2,489,0.25,0,4
14,16,49,69,7,3,255,0.28571428600000004,0,6
13,11,34,0,11,13,184,0.240384615,1,2
6,8,6,15,2,6,6,1.0,0,1
15,33,32,13,2,13,211,0.16071428599999998,0,4
10,10,31,0,5,10,182,0.26666666699999997,0,2
3,14,3,3,1,3,3,1.0,0,0
2,3,4,1,2,2,10,0.666666667,0,0
10,8,10,45,2,10,10,0.5,0,2
5,6,63,0,6,5,435,0.4,1,4
6,12,32,15,4,6,152,0.30952381,0,3
11,7,26,29,3,11,119,0.272727273,1,0
20,30,20,190,7,20,21,0.225,0,2
12,5,24,32,5,10,140,0.25,1,0
21,21,114,122,19,9,1472,0.238888889,2,13
2,3,6,1,2,2,48,0.666666667,0,0
4,2,8,4,2,4,24,0.5,0,0
12,11,17,18,4,12,103,0.241666667,0,1
4,10,44,6,9,3,432,0.35714285700000004,0,2
13,17,13,78,3,13,13,0.487179487,0,0
8,5,17,20,1,8,121,0.34375,1,0
3,4,4,0,0,3,20,0.666666667,0,0
4,14,4,6,0,4,4,1.0,0,1
2,7,21,1,4,2,88,0.625,0,1
5,6,11,0,2,5,41,0.46666666700000003,0,0
2,10,2,1,1,2,2,0.666666667,0,0
1,4,1,0,1,1,1,1.0,0,0
16,8,43,86,8,16,226,0.359375,4,3
2,5,5,1,3,2,9,0.666666667,0,1
6,19,81,15,17,5,681,0.28571428600000004,0,3
3,4,19,0,3,3,57,0.5,0,0
6,6,39,13,3,4,193,0.35,0,7
18,8,49,77,8,14,340,0.240740741,2,0
5,1,22,8,1,5,97,0.4,0,0
7,5,8,15,0,6,51,0.535714286,0,0
8,8,39,24,7,5,193,0.375,0,1
22,12,64,149,12,18,464,0.345454545,3,5
6,2,11,0,1,6,32,0.583333333,0,0
82,72,318,3021,48,72,3982,0.087369421,0,36
17,16,31,120,12,16,146,0.18382352899999999,0,3
11,7,31,45,6,6,166,0.363636364,0,1
2,4,2,1,0,2,2,0.666666667,0,0
10,6,26,15,5,10,125,0.3,1,3
5,9,8,0,2,5,30,0.46666666700000003,0,0
5,12,21,0,3,5,75,0.4,0,0
5,3,8,4,1,5,34,0.6,0,1
2,5,5,1,3,2,12,1.0,1,0
32,31,147,434,30,19,1429,0.121442125,1,12
3,9,4,1,0,1,32,0.75,0,0
38,13,86,519,10,38,593,0.12406015,0,7
16,10,46,116,2,15,431,0.219047619,0,2
8,7,21,0,4,7,108,0.5625,0,1
9,8,18,6,4,9,114,0.444444444,4,0
6,6,7,7,3,6,28,0.444444444,0,0
2,1,10,1,0,2,34,0.5,0,0
3,5,3,3,0,3,3,0.666666667,0,1
12,12,55,0,12,12,320,0.212962963,1,6
2,9,2,1,0,2,2,1.0,0,0
3,10,4,0,1,3,20,0.5555555560000001,0,0
4,5,18,4,2,2,109,0.41666666700000005,0,2
20,14,60,48,10,20,515,0.166666667,0,0
3,4,10,1,3,2,57,0.666666667,0,0
10,7,17,27,4,10,69,0.28,1,1
7,7,26,0,7,7,138,0.35714285700000004,0,0
4,4,14,2,3,2,89,0.444444444,0,1
5,3,17,6,0,4,136,0.375,0,1
17,7,34,72,4,9,217,0.20261437899999998,0,0
13,3,33,68,3,12,184,0.487179487,0,0
17,15,78,84,15,15,408,0.254901961,1,0
8,11,60,28,9,7,1007,0.333333333,0,0
23,15,68,127,14,8,472,0.18012422399999997,8,2
67,30,173,1691,21,52,2020,0.12220149300000001,1,25
1,6,1,0,1,1,1,1.0,0,1
6,9,11,9,4,5,46,0.2,0,0
1,6,1,0,1,1,1,1.0,0,0
10,2,12,25,1,10,53,0.7,0,0
6,6,37,13,4,5,172,0.666666667,0,2
14,4,30,55,4,14,170,0.35714285700000004,4,4
9,13,13,12,2,9,47,0.333333333,0,1
5,4,16,0,2,5,79,0.46666666700000003,0,0
17,12,52,90,12,14,288,0.470588235,1,2
6,6,7,7,3,6,28,0.444444444,0,0
2,5,22,1,3,2,138,0.5,0,2
12,20,12,66,9,12,12,0.2,0,1
13,14,58,44,13,6,478,0.307692308,0,4
25,14,65,234,13,20,402,0.37,2,4
