rfc,loc,ic,cbm,amc,bug
7,25,1,1,11.5,0
25,176,0,0,14.72727273,0
19,262,0,0,63.75,2
0,5,0,0,0.0,0
37,347,0,0,41.625,1
21,123,0,0,29.75,1
56,512,0,0,45.27272727,3
1,57,0,0,55.0,0
0,5,0,0,0.0,0
14,75,0,0,14.0,0
28,247,0,0,34.0,1
8,141,0,0,22.16666667,1
26,210,0,0,33.0,0
28,630,0,0,205.66666669999998,1
13,50,1,1,24.0,0
12,155,0,0,24.5,0
34,376,0,0,61.66666667,1
3,3,0,0,0.0,0
15,515,0,0,254.5,1
7,34,0,0,16.0,0
12,155,0,0,24.5,0
14,99,1,1,10.875,0
9,30,1,1,14.0,0
8,29,1,1,13.5,0
16,68,0,0,33.0,0
28,251,0,0,22.9,0
20,174,0,0,56.66666667,1
