wmc,cbo,rfc,ca,ce,loc,cam,bug
3,2,11,1,1,68,0.666666667,0
9,8,28,8,0,274,0.7222222220000001,2
32,27,118,15,27,992,0.46875,6
2,0,3,0,0,21,0.75,0
8,9,57,4,8,245,0.35,2
8,5,55,4,4,387,0.375,1
7,6,51,4,4,265,0.428571429,3
12,7,70,4,6,412,0.316666667,1
7,7,35,5,5,148,0.428571429,5
4,3,23,2,2,88,0.5,0
3,1,4,1,0,14,0.666666667,0
8,7,46,5,5,227,0.325,2
4,8,41,2,6,355,0.625,3
2,2,15,1,1,103,0.75,0
7,4,40,4,3,251,0.314285714,1
7,18,57,1,17,639,0.571428571,1
8,4,52,3,3,764,0.5,2
8,6,65,4,5,432,0.583333333,0
