wmc,rfc,npm,moa,bug
8,14,8,0,2
21,35,12,4,0
1,1,1,0,0
56,207,37,6,4
5,8,5,0,0
4,4,4,0,1
9,23,2,0,0
10,19,1,0,0
0,0,0,0,2
2,2,2,0,2
27,27,27,0,0
7,8,7,0,1
8,17,8,2,0
14,51,8,3,2
11,26,10,1,1
4,9,0,0,0
41,61,34,2,0
4,8,4,0,0
11,18,11,0,0
11,32,7,2,0
48,98,37,5,9
4,28,1,0,1
47,87,34,6,3
3,6,1,0,0
1,2,1,0,0
7,10,7,0,0
9,11,5,2,1
2,4,2,0,0
20,31,18,2,0
19,34,13,4,0
12,12,12,0,0
2,5,1,0,0
10,11,10,2,2
1,1,1,0,2
29,57,22,3,2
3,5,3,0,0
14,15,14,0,2
2,4,2,0,0
4,15,1,0,1
5,7,5,0,0
1,1,1,0,0
15,16,15,0,2
3,8,3,0,2
2,4,2,0,0
8,38,3,4,0
3,15,3,3,0
3,5,3,0,0
3,3,3,0,2
3,4,2,0,0
6,14,1,2,0
9,11,0,3,0
1,2,1,0,2
3,4,2,0,0
5,14,4,0,0
2,4,2,0,0
3,3,3,0,2
127,255,72,21,2
33,69,20,2,2
4,18,1,0,0
1,1,1,0,0
4,7,4,0,0
23,23,23,0,1
0,0,0,0,2
2,2,2,0,2
12,28,12,2,1
18,18,18,0,2
3,5,1,0,0
3,13,1,0,0
3,3,3,0,2
5,11,1,1,0
4,7,4,0,0
30,73,27,1,1
7,17,7,0,0
1,2,1,0,1
0,0,0,0,2
9,16,0,0,0
12,24,12,0,2
0,0,0,0,2
5,9,5,1,0
2,2,2,0,0
12,23,8,4,1
4,4,4,0,0
6,10,6,0,0
6,8,6,0,2
3,5,2,0,5
2,2,2,0,0
1,2,1,0,3
46,115,27,2,0
3,3,3,0,1
8,18,7,1,0
7,11,6,0,0
18,18,18,0,1
5,14,4,0,0
2,2,2,0,2
3,4,2,0,0
4,9,2,0,0
10,15,10,0,2
6,6,6,0,0
5,5,5,0,0
3,4,2,0,2
2,14,1,0,0
5,5,5,0,2
10,44,9,0,0
5,14,4,0,0
6,8,6,1,1
9,9,9,0,2
1,2,1,0,2
7,7,7,0,2
12,12,12,0,2
41,74,22,3,5
1,1,1,0,0
6,11,6,0,0
100,240,53,9,1
6,6,6,0,2
6,16,5,1,2
36,70,30,3,0
2,2,2,0,0
48,121,47,2,8
1,1,1,0,2
9,9,9,0,0
10,13,8,0,0
31,58,24,3,2
7,7,7,0,0
5,19,4,1,0
10,13,10,0,0
4,17,1,0,0
4,4,4,0,2
8,32,7,0,1
18,40,16,0,2
4,4,4,0,1
8,8,8,0,2
8,23,2,0,0
19,28,13,3,1
2,2,2,0,0
2,3,2,0,0
3,6,1,0,0
11,33,7,2,0
4,15,1,0,0
2,17,1,0,1
27,66,8,7,2
131,288,83,22,11
1,1,1,0,0
8,8,8,0,2
3,10,1,0,0
44,76,35,1,2
1,2,1,0,1
12,20,12,3,2
4,7,4,0,0
11,34,7,2,1
3,3,3,0,0
51,121,11,6,5
5,15,3,0,0
4,9,4,1,0
3,7,0,0,1
1,2,1,0,0
4,4,4,0,2
21,27,20,1,2
4,11,1,0,0
3,3,3,0,0
3,3,3,0,2
5,14,4,0,0
1,1,1,0,2
