wmc,dit,rfc,lcom,ce,loc,moa,mfa,amc,bug
6,6,27,7,0,177,0,0.992088608,27.5,0
10,1,11,3,0,72,0,0.0,5.8,0
5,1,19,0,2,86,0,0.0,16.0,0
2,1,17,1,3,95,0,0.0,46.5,0
15,6,49,73,6,424,2,0.978159126,26.46666667,1
25,1,40,150,3,347,0,0.0,12.56,0
30,6,72,199,5,1910,3,0.9572519079999999,61.8,1
23,1,32,171,1,169,0,0.0,6.0,1
33,6,93,330,7,1412,3,0.9528875379999999,40.87878788,2
8,6,44,14,2,276,0,0.988958991,32.75,2
11,1,12,25,0,69,0,0.0,4.818181818,0
16,6,42,92,0,841,0,0.976635514,50.125,0
1,1,2,0,0,4,0,0.0,3.0,0
8,1,14,0,1,66,1,0.0,6.875,0
1,1,2,0,0,4,0,0.0,3.0,1
19,1,44,97,3,1760,2,0.0,91.36842105,2
13,1,36,0,5,375,3,0.0,27.0,0
26,6,80,189,8,938,4,0.964615385,34.30769231,2
12,1,17,56,1,160,0,0.0,11.91666667,0
8,1,14,0,1,66,1,0.0,6.875,0
5,1,28,10,5,105,0,0.0,19.8,1
47,6,95,707,9,1791,4,0.9316493309999999,36.34042553,2
2,3,4,1,0,10,0,1.0,3.5,0
18,6,56,83,9,1606,3,0.975116641,85.88888889,1
19,6,63,87,8,836,2,0.973602484,41.94736842,2
4,1,6,0,1,69,1,0.0,16.0,0
11,1,11,55,0,11,0,0.0,0.0,0
20,6,67,118,7,665,3,0.972093023,31.4,4
6,1,18,0,1,77,0,0.0,11.66666667,0
